"geo";"year";"year.ref";"source";"date"
"dep";2012;2010;"INSEE ELP 2010 Departement & age quinquenaux";2012-04-25
"reg";2012;2010;"INSEE ELP 2010 Departement & age quinquenaux";2012-04-25
