"age.min";"age.max";"code_dep";"year";"all";"male";"female"
5;9;"80";2012;35988;18285;17703
5;9;"51";2012;34184;17512;16672
5;9;"45";2012;42473;21575;20898
5;9;"68";2012;46618;23705;22913
5;9;"62";2012;99687;51139;48548
5;9;"93";2012;113394;57677;55717
5;9;"27";2012;40893;21024;19869
5;9;"89";2012;21067;10823;10244
5;9;"52";2012;10758;5431;5327
5;9;"16";2012;19153;9790;9363
5;9;"69";2012;106288;53698;52590
5;9;"63";2012;34337;17285;17052
5;9;"94";2012;86032;44397;41635
5;9;"88";2012;22905;11562;11343
5;9;"82";2012;15380;7760;7620
5;9;"53";2012;21091;10860;10231
5;9;"17";2012;33938;17422;16516
5;9;"03";2012;18153;9411;8742
5;9;"33";2012;83764;43183;40581
5;9;"95";2012;84718;43421;41297
5;9;"29";2012;54132;27717;26415
5;9;"83";2012;55396;28640;26756
5;9;"46";2012;9076;4678;4398
5;9;"10";2012;18517;9296;9221
5;9;"04";2012;9314;4824;4490
5;9;"34";2012;59387;30306;29081
5;9;"28";2012;28693;14687;14006
5;9;"90";2012;8718;4506;4212
5;9;"84";2012;33082;16830;16252
5;9;"47";2012;18254;9618;8636
5;9;"70";2012;15201;7808;7393
5;9;"64";2012;36074;18776;17298
5;9;"35";2012;64827;33328;31499
5;9;"972";2012;26410;13174;13236
5;9;"974";2012;71223;36404;34819
5;9;"54";2012;42712;21648;21064
5;9;"18";2012;17322;8876;8446
5;9;"71";2012;31813;16146;15667
5;9;"65";2012;12012;6244;5768
5;9;"971";2012;29284;15175;14109
5;9;"30";2012;43591;22042;21549
5;9;"66";2012;25921;13364;12557
5;9;"09";2012;8336;4259;4077
5;9;"11";2012;20284;10392;9892
5;9;"05";2012;8062;4136;3926
5;9;"48";2012;4226;2254;1972
5;9;"12";2012;14932;7825;7107
5;9;"06";2012;56010;28416;27594
5;9;"36";2012;12663;6457;6206
5;9;"973";2012;27708;14090;13618
5;9;"07";2012;19131;9926;9205
5;9;"19";2012;12547;6410;6137
5;9;"72";2012;36446;18550;17896
5;9;"13";2012;116985;59324;57661
5;9;"08";2012;18048;9358;8690
10;14;"73";2012;25899;13307;12592
10;14;"45";2012;40242;20645;19597
10;14;"44";2012;80597;41329;39268
10;14;"37";2012;34929;17783;17146
10;14;"79";2012;21925;11273;10652
10;14;"81";2012;21542;11132;10410
10;14;"43";2012;13726;7141;6585
10;14;"74";2012;47556;24631;22925
10;14;"61";2012;17854;9159;8695
10;14;"55";2012;11931;6232;5699
10;14;"75";2012;99049;50270;48779
10;14;"38";2012;77365;39819;37546
10;14;"82";2012;14989;7741;7248
10;14;"76";2012;77697;39659;38038
10;14;"39";2012;16409;8423;7986
10;14;"80";2012;34458;17865;16593
10;14;"25";2012;31917;16544;15373
10;14;"2A";2012;7723;4151;3572
10;14;"21";2012;30316;15724;14592
10;14;"83";2012;58283;30025;28258
10;14;"46";2012;9413;4777;4636
10;14;"40";2012;22636;11539;11097
10;14;"63";2012;33835;17416;16419
10;14;"26";2012;31113;16078;15035
10;14;"2B";2012;8500;4400;4100
10;14;"22";2012;35435;18138;17297
10;14;"84";2012;34102;17743;16359
10;14;"47";2012;19060;9880;9180
10;14;"62";2012;97097;50111;46986
10;14;"56";2012;44193;22741;21452
10;14;"27";2012;39719;20121;19598
10;14;"29";2012;53645;27780;25865
10;14;"23";2012;6201;3158;3043
10;14;"77";2012;92633;47238;45395
10;14;"48";2012;4104;2102;2002
10;14;"42";2012;44639;23015;21624
10;14;"57";2012;60391;31021;29370
10;14;"28";2012;26980;13753;13227
10;14;"30";2012;44222;22481;21741
10;14;"24";2012;22167;11433;10734
10;14;"78";2012;95930;49450;46480
10;14;"41";2012;19510;10148;9362
10;14;"64";2012;36738;18806;17932
10;14;"58";2012;11548;5948;5600
10;14;"60";2012;54218;27924;26294
10;14;"91";2012;81387;41469;39918
10;14;"85";2012;37636;19253;18383
10;14;"87";2012;19095;9748;9347
10;14;"50";2012;30730;15543;15187
10;14;"65";2012;12091;6257;5834
10;14;"59";2012;168712;86208;82504
10;14;"02";2012;35308;17979;17329
10;14;"92";2012;91208;46797;44411
10;14;"86";2012;23835;12049;11786
10;14;"49";2012;50098;25463;24635
10;14;"51";2012;33846;17435;16411
10;14;"66";2012;26194;13600;12594
10;14;"01";2012;40776;20706;20070
10;14;"31";2012;72445;37379;35066
10;14;"93";2012;99077;50513;48564
10;14;"95";2012;79955;40637;39318
10;14;"89";2012;21155;10999;10156
10;14;"52";2012;10839;5482;5357
10;14;"67";2012;65110;33314;31796
10;14;"69";2012;103124;52637;50487
10;14;"32";2012;10507;5369;5138
10;14;"94";2012;80594;41460;39134
10;14;"88";2012;23089;11886;11203
10;14;"90";2012;8474;4438;4036
10;14;"53";2012;19808;10146;9662
10;14;"68";2012;46831;23757;23074
10;14;"03";2012;18430;9311;9119
10;14;"33";2012;84532;42913;41619
10;14;"35";2012;62053;31821;30232
10;14;"972";2012;27636;14074;13562
10;14;"974";2012;70827;36292;34535
10;14;"16";2012;20008;10090;9918
10;14;"10";2012;18477;9236;9241
10;14;"04";2012;9462;4875;4587
10;14;"34";2012;60266;30852;29414
10;14;"971";2012;31683;16306;15377
10;14;"973";2012;24867;12843;12024
10;14;"07";2012;19040;9764;9276
10;14;"17";2012;34531;17716;16815
10;14;"70";2012;14793;7580;7213
10;14;"05";2012;8477;4270;4207
10;14;"18";2012;17536;8977;8559
10;14;"09";2012;8536;4457;4079
10;14;"06";2012;60040;31147;28893
10;14;"54";2012;42433;21916;20517
10;14;"72";2012;35213;17861;17352
10;14;"71";2012;31878;16637;15241
10;14;"12";2012;15071;7758;7313
10;14;"36";2012;12552;6494;6058
10;14;"08";2012;18256;9391;8865
10;14;"15";2012;7178;3710;3468
10;14;"11";2012;21207;10783;10424
10;14;"19";2012;12487;6403;6084
10;14;"13";2012;118925;60891;58034
10;14;"14";2012;42044;21516;20528
15;19;"73";2012;24350;12656;11694
15;19;"37";2012;37480;18421;19059
15;19;"43";2012;12250;6309;5941
15;19;"74";2012;44374;23285;21089
15;19;"79";2012;19308;10046;9262
15;19;"50";2012;28588;14955;13633
15;19;"49";2012;51108;25834;25274
15;19;"67";2012;70529;35551;34978
15;19;"51";2012;37028;19017;18011
15;19;"45";2012;39299;20434;18865
15;19;"44";2012;81922;41671;40251
15;19;"80";2012;37856;19226;18630
15;19;"85";2012;34453;18119;16334
15;19;"2A";2012;7589;4041;3548
15;19;"81";2012;21169;10881;10288
15;19;"75";2012;119707;57655;62052
15;19;"38";2012;79280;40780;38500
15;19;"61";2012;16686;8565;8121
15;19;"55";2012;10906;5635;5271
15;19;"86";2012;26579;13103;13476
15;19;"2B";2012;8235;4279;3956
15;19;"82";2012;13076;6805;6271
15;19;"76";2012;82403;41552;40851
15;19;"68";2012;44833;23213;21620
15;19;"31";2012;83190;42211;40979
15;19;"25";2012;33122;17018;16104
15;19;"87";2012;21374;10689;10685
15;19;"21";2012;35311;17535;17776
